Reviewer,Rating,Variant,Verified,Date,Text
N**l A**a,5,XXXL,True,2025-12-30 21:04:11,sangat2 puas hati...kain yg berkualiti..berbaloi beli..sy pasti akan beli lagi...terima kasih.
@**🦋,5,XS,True,2025-11-05 08:35:26,Alhamdulillah dah sampai..material betul2 premium..sangat berpuas hati..🥰bila pakai tu memang terletak elok
f**0,5,S,True,2025-09-02 09:03:44,"Product quality: Bagus
Baju ni cantik..kain sejuk,licin n berat tjatuh elok.xmudah renyuk.senang jaga"
u**️,5,L,True,2025-03-05 20:02:43,Abaya saya dah sampai.. packaging sgt bagus n menarik..abaya sgt cantik..puas hati..saya repeat oder lagi...🥰👍
n**6,5,S,True,2025-08-08 17:21:02,Cantik sgttt. Nk beli lagi.
A**h E**h,5,M,True,2025-03-10 14:48:45,lawa sgt.berkualiti
a**n,5,S,True,2026-01-13 08:56:56,"Jubah sgt cantik,xda gmbr..bj dh simpan lupa amik gmbr"
H**a A**h,5,XXL,True,2026-01-08 16:08:48,"Cantik. 75kg, 166cm. Beli XXL besar tp selesa. Elok beli ikut saiz sebenar. Cutting jubah awesome esp lengan dah siap berlapik dalam."
n**a,5,XXL,True,2026-01-02 20:09:14,"The best products... love 
Tqsm free gift...selendang"
u**b,5,M,True,2026-01-02 11:48:02,"Why arabista why??nape x jmpe jubah u dr dlu ekk,harga affordable n kain sedap giler😍trase rugi bli yg mhal2 dlu😢"
c**h,5,XS,True,2025-12-06 11:03:25,"Review jujur, cutting memang utk badan asian, kain quality, jahitan kemas, design cantik. Ade sikit je kat jhitan claim depan benang x trim. Pade sy utk quality tempatan jahitan tempatan harga mcm ni saya blh category kan sbg premium. Actually blh jual more than RM150 utk quality mcm ni."
S**i P**a,5,L,True,2025-11-16 16:04:53,Lawa sangat2.. kain selesa.. sesuai dipakai untuk event.. nampak mewah dan menutup aurat dilengan..
m**i,5,S,True,2025-11-04 21:00:16,"Product quality: Material cantik flowy
Suka built in handsock tak risau tangan terselak. Boleh repeat lagi"
t**y,5,XS,True,2025-10-06 16:56:22,"Sangat puas hati, jahitan kemas, kain berat dan berkualiti, size xs memang ngam untuk berat 40+, tidak terlondeh"
S**e,5,XXL,True,2025-10-03 15:22:17,"MasyaAllah, seller yg sangat membantu. 
Terima kasih kerana memudahkan pembelian saya, penukaran size dan memastikan saya terima replacement Abaya dlm keadaan yg sangat baik. Seller yg super sabar dan baik (kind). 
In Syaa Allah saya tak ragu2 utk ulang pembelian dimasa hadapan."
m**2,5,S,True,2025-09-29 18:09:33,Cantik dooh abaya nya!😍😍😍 10/10 ⭐ 😚.. tak sama mcm abaya lain yg Sy pernah beli. Sy prnh beli abaya dri madinah melalui ps. Harga sama tpi Kualiti jubah jauh beza kain nipis buh dlm plastik jur. Yg abaya warda ni jauhhh lagi helokk dri abaya madinah yg Sy beli tu. loveee 😍
⋆**ི,5,L,True,2025-09-25 13:08:11,cantik gilaa tp labuh skit boleh ja potong kain mcm abaya dubai wei..
-**⁹,5,L,True,2025-09-24 15:31:12,cantikkk sgt and good material & packaging👍👍
C**h,5,M,True,2025-09-10 18:25:42,Kain cantik tp bahagian dada agak ketat walaupun tercatat 40 in.
N**g,5,M,True,2025-09-09 18:56:17,Sangat berpuas hati....jubah cantik...kain jatuh elok......sy tinggi 167... sangat2 berpuas hati
Z**💞,5,XXL,True,2025-08-16 00:08:26,kualiti memang tiptop🌟🌟🌟🌟🌟
w**0,5,XL,True,2025-08-14 14:18:02,Love doohh kainnya. Ade poket kiri kanan. Fabrik dan design cantik. Berbaloi dgn harga. Dah grab 4 helai
𝓕**𝓱 𝓐**𝔃,5,XS,True,2025-08-10 23:34:22,"Kalau ke dia beli.  Kain lembut, terletak sejuk elok sja.   Saya suka, sebab Tu beli plk yg lain.."
M**2,5,M,True,2025-03-27 12:20:56,"Sumpah abaya paling lawaa😍😍😍
Product quality: Very nice"
Z**A,5,M,True,2025-03-13 09:36:38,"Abaya ke 6 saya....recommended....
Product quality: 10/10"
l**_,5,XXXL,True,2025-03-09 02:31:02,"1. Kain berat, bila pakai, terletak dan jatuh saje. Tak perlu gosok, tak renyuk sangat pun
2. Paling win, tangan dia ada inner, macam grip tu. Angkat tangan, tak perlu pakai inner tangan.
3. Flowy betul
4. Untuk tinggi 151cm, confirm kena potong. Berat almost 100kg, fit. 90kg-95kg sedap pakai."
U**i,5,M,True,2025-03-07 10:20:34,"Alhamdulillah dah sampai sangat cepat. Puas hati sebab jahitan kemas dan yang paling penting mengikuti ciri2 yg saya suka material nidha, berpoket kiri kanan dan 2 pc. Ya Allah suka sangat. Terima kasih seller saya beli ya dan of course akan repeat repeat dan repeat lagi"
M**a,5,XL,True,2025-03-06 11:31:44,"Cantik sngt
Product quality: Kain okay saiz ok cuma labuh je"
Y**z,5,XS,True,2025-03-05 17:17:36,"Material best
Design cantik
Saiz ngam 
Bungkusan kemas
Penghantaran laju"
j**n,5,L,True,2025-09-15 13:55:04,Jubah yg berkualiti...kali ke3 repeat order
A**a,5,XL,True,2025-03-13 21:38:50,Abaya Arab ni sngt cantik...saiz XL utk dada 42
س**ي,5,S,True,2025-03-08 15:21:57,Sangat sangat sangat cantik n selesa!😍
A** A**n,5,XXL,True,2025-03-05 20:01:32,"Alhamdulillah baju dh smpai, cntek sgt jubah"
H**2,5,L,True,2026-01-05 10:37:44,Ok cuma labuh kena kerat sikit…
I**0,5,XL,True,2025-09-27 20:26:38,"Puas hati, cantik dan kain yg bgus"
c** t**,5,XXL,True,2025-03-07 09:04:03,Fabrik berkualiti jahitan kemas....
D**,5,XL,True,2025-03-05 20:57:03,Cantik sgt tapi kaki kena potong. Yg paling best dah siap lengan bhgn dlm.tak payah pakai hand sock❤️❤️❤️❤️
N**h,4,XXXL,True,2025-03-05 17:43:06,"Kain lembut, tidak jarang dan tidak panas"
s**d,3,L,True,2025-12-27 09:22:35,"Jubah semua semua ok tapi labuh ya amat untuk saya. Kalau membeli ber budget masukkan sekali RM20 untuk singkatkan jubah, tukang jahit pun pandai kata kain ni lebar dan licin. Wallahuaklam"
P**i c**n,5,S,True,2026-01-03 16:33:32,Tip topp syatiiiiiiikkkkkkkk
M**2,5,M,True,2026-01-02 10:15:52,MasyaAllah… cantik..
B**A A**A,5,XS,True,2025-12-04 09:37:54,Kain best sangatttt👍👍
S**a M**,5,S,True,2025-11-06 18:33:23,Terbaik..dh byk kali order
A**8,5,XL,True,2025-09-23 22:40:16,Nice product love it
L**a I**0,5,S,True,2025-08-11 12:27:38,Cantik penghantaran cepat
Z**h ** P**c G**d,5,L,True,2025-03-09 14:35:53,Helpful in exchange of size
N**S,5,M,True,2025-12-05 22:34:00,Terima kasih
𒆜** ོ**𝓓 **,5,XL,True,2025-11-07 15:36:41,Baju lawa dooh dooh
m**,5,S,True,2025-10-10 10:18:32,Sgt cantik
S**,5,XXXL,True,2025-09-13 07:32:55,Good quality
L** M**a,5,M,True,2025-09-12 14:27:44,Cantek sgt
h**e,5,XXL,True,2025-09-11 08:15:23,Cantikkk wajib beli
L** M**a,5,S,True,2025-09-09 18:54:30,Cantek sgt
S**n,5,M,True,2025-08-14 11:12:33,Good & true size
W** F**3,5,XXL,True,2025-03-21 12:42:58,👍👍👍
m**r,5,L,True,2026-01-11 01:24:37,Cantik
i**k,5,S,True,2025-10-13 08:24:37,ok
E**d,5,XL,True,2025-10-09 20:57:37,Good
a**r,5,XXXL,True,2025-10-03 09:46:16,Ok
C**d,5,XL,True,2025-09-22 12:31:26,Cantik
w**p,5,L,True,2025-09-20 09:19:49,Nice
a**r,5,M,True,2025-09-13 14:45:57,Terbaik
D** I**,5,XL,True,2025-09-10 17:42:35,Cantikkk
L**r,5,XXL,True,2025-08-27 09:35:27,Terbaik
L**r,5,XXL,True,2025-08-14 16:05:51,Terbaik
H**0,5,M,True,2025-04-04 05:39:58,G
𝓘**𝓭,5,L,True,2025-03-07 04:40:50,Cantik
N**p,5,L,True,2025-03-06 13:46:46,Cantik
Z**a,5,S,True,2025-03-05 16:28:24,Nice
l**l,5,L,True,2025-03-05 15:07:53,Cantik
m**g,1,M,True,2026-01-11 21:58:42,"Sye tak dapat barang sye order, dia bagi sye lampu tapi sye bukan order lampu"
S**a,5,L,True,2026-01-24 11:15:30,
s**a,5,L,True,2026-01-12 23:31:33,
k**t d**r,5,XL,True,2026-01-10 10:07:07,
M**5,5,XXL,True,2026-01-04 12:15:14,
k**i,5,XL,True,2026-01-02 23:59:13,
a**0,5,XL,True,2026-01-01 17:21:13,
S**a **,5,S,True,2025-12-31 17:50:45,
**,5,XXXL,True,2025-12-31 08:07:24,
n**😍,5,XL,True,2025-12-30 14:41:50,
M**M,5,XXL,True,2025-12-29 19:49:06,
K** N**,5,XXL,True,2025-12-27 19:36:05,
T**i,5,XXXL,True,2025-12-27 08:59:48,
s**🤍,5,M,True,2025-12-18 20:23:14,
ℍ**𝕝,5,M,True,2025-12-14 15:54:47,
Z**a,5,L,True,2025-12-03 01:01:12,
s**a,5,M,True,2025-12-01 22:48:31,
s**f,5,L,True,2025-11-29 20:21:23,
k**,5,M,True,2025-11-29 17:01:57,
u**0,5,XXL,True,2025-11-16 18:01:17,
N**🌻,5,XL,True,2025-10-31 22:21:17,
i**e r**n,5,S,True,2025-10-31 09:33:03,
a**a a**z,5,S,True,2025-10-27 23:43:13,
N**️,5,XL,True,2025-10-15 21:40:40,
M**a,5,S,True,2025-10-04 07:22:45,
N** N**a F**a,5,XL,True,2025-10-01 10:21:11,
N**5,5,L,True,2025-09-29 18:00:54,
A**d O**l,5,XXXL,True,2025-09-27 14:06:05,
D**r,5,L,True,2025-09-25 21:34:20,
D**r,5,XS,True,2025-09-25 21:34:20,
L**a H**n,4,XXXL,True,2025-03-07 13:13:41,Cantekk
o**t,4,XL,True,2026-01-05 20:00:49,
